Iteration,Mean Reward,Policy Loss,Value Loss,Entropy
1,-0.09297368421052554,0.01067869532853365,0.8126556396484375,1.00265953540802
2,-0.1084347826086949,-0.012233799137175084,1.0107967138290406,0.984252667427063
3,-0.10721641791044698,0.012340234033763409,0.9982007503509521,0.9691645383834839
4,-0.10333333333333246,0.011366106383502484,0.7536011099815368,0.9716400504112244
5,-0.139631205673758,0.05511849522590637,0.6480595111846924,0.9828499555587769
6,-0.10281021897810137,0.021209228411316873,0.7535773873329162,0.9647745370864869
7,-0.11239024390243825,-0.09561840742826462,0.9441220760345459,0.9858282446861267
8,-0.10789208633093428,0.060346712917089464,0.7804893255233765,0.960602605342865
9,-0.13939583333333264,0.03388539627194405,0.7450098395347595,0.9790319800376892
10,-0.1066488549618313,0.1113829642534256,0.7495458126068115,0.9662385940551758
11,-0.10619548872180368,-0.0009757712483406067,0.9271436393260956,0.9753613770008087
12,-0.14559999999999912,-0.0027052858844399453,0.6993442296981811,0.9628945827484131
13,-0.10838345864661567,-0.10231402516365051,0.9099627733230591,0.9777183771133423
14,-0.106160583941605,-0.021757736429572107,0.872392201423645,0.9674298644065857
15,-0.10366917293232997,-0.01701505817472935,0.8007928967475891,0.9753600716590881
16,-0.10321232876712243,-0.003307235985994339,0.9091563642024993,0.9683611810207366
17,-0.10684444444444348,0.029616548866033553,0.6742234349250793,0.9535488367080689
18,-0.10743478260869481,-0.018774949386715888,0.8568380355834961,0.941745913028717
19,-0.10277205882352852,-0.06025981903076172,0.9265423655509949,0.9472561001777648
20,-0.14487769784172574,-0.03569644913077354,0.9562238335609436,0.9621893763542175
21,-0.13991304347826009,0.005822947528213262,0.9073283314704895,0.9426994442939758
22,-0.1116870229007626,0.07078907787799835,0.6485420346260071,0.9314213633537293
23,-0.10962222222222137,-0.0920470342040062,1.1944588422775269,0.9540773868560791
24,-0.10875572519083875,-0.012687288410961627,0.8661454916000366,0.9627411365509033
25,-0.11097709923664024,0.02945827841758728,0.7597180843353272,0.9515605330467224
26,-0.12047014925373042,0.0312428068369627,0.7261292099952698,0.9420018911361694
27,-0.10487234042553115,-0.005157447699457407,0.8153570055961609,0.9362681865692138
28,-0.10389705882352844,-0.054621849209070206,0.7817940950393677,0.970062792301178
29,-0.11974418604651077,-0.09640748649835587,1.1146429777145386,0.9465102195739746
30,-0.11259090909090813,-0.017062299698591233,0.7574415326118469,0.9440410614013672
31,-0.11499999999999909,0.01616610325872898,0.8044842481613159,0.9496711492538452
32,-0.11872727272727193,0.08013092577457429,0.6906249046325683,0.9185340523719787
33,-0.11120769230769141,-0.017833148688077928,0.8395089030265808,0.9380285620689393
34,-0.1111489361702118,-0.01517341509461403,0.8846009850502015,0.9463401198387146
35,-0.10235820895522295,-0.023637096211314202,0.8352126121520996,0.9394165635108948
36,-0.11481395348837117,0.015305252000689506,0.586106276512146,0.9078322649002075
37,-0.11463779527558966,0.027387623861432075,0.8289973855018615,0.9603853344917297
38,-0.11099999999999927,0.026714619621634482,0.8064336180686951,0.9462526321411133
39,-0.1428041958041949,0.03730831518769264,0.871202552318573,0.9517744541168213
40,-0.10298473282442654,0.01394179929047823,0.7945801734924316,0.9346362352371216
41,-0.112544776119402,0.0698205828666687,0.6508703112602234,0.9431849002838135
42,-0.1367185185185174,-0.02109927572309971,0.8399494647979736,0.9676391005516052
43,-0.13621481481481393,-0.06182226166129112,0.6777109861373901,0.9318583607673645
44,-0.14010526315789384,-0.008718990534543992,0.7461533427238465,0.9407548785209656
45,-0.1524015748031488,-0.02045184336602688,0.7328394412994385,0.9295220375061035
46,-0.10956521739130345,0.05422238409519196,0.736641275882721,0.9488528490066528
47,-0.1589999999999992,-0.007116024382412434,0.7675991535186768,0.9441225528717041
48,-0.12143589743589643,0.03539111837744713,0.6881593823432922,0.9269791126251221
49,-0.11627272727272632,0.024108252907171845,0.6378449499607086,0.931193596124649
50,-0.11182442748091506,0.0004431866589584388,0.8303210496902466,0.92209392786026
51,-0.11392561983470981,-0.0078070458024740216,0.6274860799312592,0.9175103843212128
52,-0.13569230769230672,0.08911561518907547,0.5680188536643982,0.8948355555534363
53,-0.11239694656488443,0.010984329879283905,0.6451137125492096,0.9123380243778229
54,-0.11521804511278096,0.002074968069791794,0.7503764212131501,0.911457633972168
55,-0.11459541984732734,0.09282728135585785,0.6825418472290039,0.92939133644104
56,-0.11890243902438935,0.03803980275988579,0.6611478328704834,0.9252486824989319
57,-0.11551162790697586,-0.012555424496531487,0.7989318192005157,0.9381778240203857
58,-0.12476033057851142,0.007456800900399685,0.7845488429069519,0.929487144947052
59,-0.11761764705882262,-0.1303265333175659,0.9614318370819092,0.9313762784004211
60,-0.11922047244094398,0.013454795815050602,0.9447925209999084,0.9221474051475524
61,-0.14480158730158643,0.024312768876552582,0.6837424159049987,0.9335598468780517
62,-0.13432835820895422,0.07029699832201004,0.5290282249450684,0.900908350944519
63,-0.11249999999999905,0.004034793376922608,0.8431326508522033,0.9407412827014923
64,-0.10966153846153753,-0.02544059194624424,0.8350253701210022,0.9225282549858094
65,-0.1181438848920855,-0.02682572416961193,0.7598204731941223,0.9305438876152039
66,-0.10771323529411692,0.06073318049311638,0.7847169160842895,0.9352843523025512
67,-0.11514705882352853,0.029005665704607962,0.8255698561668396,0.9359854698181153
68,-0.12885714285714195,-0.010168546438217163,0.8033509671688079,0.9213221788406372
69,-0.11807142857142755,0.0006513177417218685,0.7590737581253052,0.9256944477558136
70,-0.14038167938931193,0.013690709136426449,0.6319609642028808,0.9342645883560181
71,-0.12259285714285623,0.041791262477636336,0.9064053416252136,0.9357284665107727
72,-0.11334453781512516,-0.02877359464764595,0.8249842762947083,0.9298090457916259
73,-0.1528409090909082,-0.022088269144296645,0.7679650664329529,0.922643518447876
74,-0.11631617647058737,-0.03510841131210327,0.8484161615371704,0.8972937107086182
75,-0.12312711864406681,0.0053601217921823265,0.6922570586204528,0.9127493381500245
76,-0.12340157480314846,-0.02037174189463258,0.7201684176921844,0.9233204364776612
77,-0.1133007518796983,0.05433105453848839,0.661809241771698,0.9214410066604615
78,-0.11743902439024297,-0.002219505456741899,0.7164538502693176,0.9076591849327087
79,-0.1194888888888882,0.043755809962749484,0.6538913607597351,0.8919522166252136
80,-0.10784999999999904,-0.034163863956928255,0.9232074379920959,0.8878870487213135
81,-0.10479310344827497,0.05801231414079666,0.8205189228057861,0.87505943775177
82,-0.15419512195121876,0.051774831116199495,0.7600265145301819,0.8947927474975585
83,-0.13019424460431547,0.13354688584804536,0.5751760482788086,0.8713229179382325
84,-0.1085496183206098,-0.012789522856473922,0.677033519744873,0.8718733310699462
85,-0.12319199999999914,-0.12373054772615433,1.0496113061904908,0.9059317111968994
86,-0.15770078740157378,0.08169695436954498,0.9317257046699524,0.8691518068313598
87,-0.11198437499999905,0.07511871606111527,0.831106173992157,0.8566121935844422
88,-0.1741538461538452,0.047138661891222,0.7970377326011657,0.8561570286750794
89,-0.15033333333333218,-0.10027567595243454,0.8126332879066467,0.8578587174415588
90,-0.13610256410256324,-0.01121739875525236,0.6732384622097015,0.8861571609973907
91,-0.11956153846153764,-0.00384527244605124,0.8833977341651916,0.8850486874580383
92,-0.10742647058823439,-0.001910766848595813,0.8961991429328918,0.8870757579803467
93,-0.10770833333333234,-0.062138179689645766,0.770011043548584,0.8693086385726929
94,-0.10219014084506949,-0.0012700724561000242,0.7507454991340637,0.8640794277191162
95,-0.11756557377049094,-0.031818915903568265,0.7570314884185791,0.8667699098587036
96,-0.14396124031007634,0.0007303208112716675,0.8361708581447601,0.8807647049427032
