Iteration,Mean Reward,Policy Loss,Value Loss,Entropy
1,-0.25317647058823506,0.015548282610931588,0.9185222119092942,0.9988562549153964
2,-0.29871851851851833,-0.012397947379698356,0.7800178026159604,0.982235020895799
3,-0.23873202614379063,-0.023659600168466566,0.69357790629069,0.9843635988235474
4,-0.2653489932885904,-0.01727240508926722,0.5647900531689326,0.9442540156841278
5,-0.32233333333333314,-0.031573599607994156,0.6690124555428822,0.9526290476322175
6,-0.280839416058394,-0.0009034111286503806,0.704786800344785,0.929536323149999
7,-0.3295634920634919,-0.01152321785222739,0.6147162304321925,0.9297350410620372
8,-0.32028888888888873,-0.0018301245727343485,0.6688206702470779,0.9358727610111237
9,-0.3141060606060604,-0.019829560171735164,0.6491282991568248,0.9285592536131541
10,-0.28687218045112767,-0.005784687257061402,0.6567959733804067,0.9293752340475718
11,-0.2819090909090907,-0.004070170934355701,0.562331147591273,0.9228202958901723
12,-0.2968515624999999,-0.022327288369221304,0.5978966039419175,0.9161324751377106
13,-0.3358943089430893,-0.012669262101796145,0.5979921954870224,0.9362958558400472
14,-0.30703623188405776,-0.03699869734545549,0.5352395252386729,0.9199459056059519
15,-0.31530708661417317,-0.006687830736239751,0.6348361666997274,0.918112168709437
16,-0.31874436090225555,-0.03988954814771811,0.6119889924923579,0.9079167155424753
17,-0.27895454545454523,-0.020980938958625,0.63041372915109,0.9144250229994456
18,-0.3741359999999999,-0.03578237196896225,0.5760978692770005,0.9332292930285135
19,-0.3341503759398495,-0.02133844757404101,0.5699644893407821,0.9055891780058543
20,-0.3284253731343282,0.01967792416398879,0.6108177920182546,0.9254173711935679
21,-0.34979999999999983,-0.007699399950603644,0.5467697121699651,0.9140208021799723
22,-0.41536521739130433,-0.02949817251782709,0.5767863442500433,0.9083629337946574
23,-0.39058730158730154,-0.027061926225821178,0.5315168790022532,0.9092865264415741
24,-0.41249152542372874,-0.012680781515470396,0.6292432818810145,0.9412991213798523
25,-0.3211076923076921,-0.022948462643350164,0.5860460178057353,0.9111092734336853
26,-0.3310620155038758,-0.009787546958929548,0.6549901672204336,0.9265287864208221
27,-0.33818852459016374,-0.02613873119155566,0.5570707847674687,0.9156960860888164
28,-0.3495080645161289,0.0031648854886104044,0.6233681201934814,0.9162256642182668
29,-0.36982539682539667,-0.03468753195057313,0.7493368407090505,0.8993409144878387
30,-0.3484719999999997,0.009236577653088412,0.6025514084100724,0.9011453612645467
31,-0.3124883720930231,0.0035914151921557884,0.6208019020160039,0.9240174925327301
32,-0.31966153846153833,-0.016312105757080846,0.571823022597366,0.9017942984898885
33,-0.29973529411764693,-0.03344315728211465,0.5235323272148769,0.9021183490753174
34,-0.2671954887218043,-0.02206709412916098,0.5569944111506144,0.9110151624679566
35,-0.35983199999999993,-0.015151958896394717,0.595604269305865,0.8855348571141561
36,-0.3709759999999998,-0.015398388254495026,0.6700512180725734,0.8955532431602478
37,-0.3477580645161289,-0.010189742823131382,0.6443330760796865,0.9245600008964538
38,-0.33196124031007734,-0.02101824368039767,0.6409124684333801,0.8903191395600637
39,-0.36074999999999985,-0.025893062303463617,0.6249599423011144,0.8926665139198303
40,-0.32236153846153826,-0.011624594827080727,0.545649393995603,0.8794073645273844
41,-0.3917999999999998,0.01571976563582818,0.5891286452611287,0.8833605639139811
42,-0.3451181102362203,-0.022544013721247515,0.5668494222561519,0.8658671816190083
43,-0.39685833333333326,-0.02290689352938595,0.6481760181983311,0.874916101694107
44,-0.35408730158730145,0.0036940825497731567,0.6146358702580134,0.8912470881144205
45,-0.397579831932773,-0.024317936401542586,0.6005394770701726,0.8863984696070353
46,-0.3540924369747898,-0.022609041978915532,0.6189597781499226,0.9286005147298177
47,-0.3729256198347106,-0.017326871338041706,0.521022547284762,0.9027692407369614
48,-0.4288070175438595,-0.009828853604073326,0.5302654047807057,0.9083975954850515
49,-0.3680799999999998,-0.015692893819262584,0.6638947196801503,0.8841493511199952
50,-0.35857723577235756,-0.03732538916170597,0.6578240166107814,0.8984735953807831
51,-0.37701652892561965,-0.034779483477274574,0.5162102802594503,0.8955046705404918
52,-0.3359837398373983,-0.04598620841745287,0.6243027438720067,0.8913041949272156
53,-0.38149999999999984,-0.006850352953382147,0.561819405357043,0.9155141456921896
54,-0.3487611940298507,-0.024142606616769625,0.5804686452945074,0.9022614006201426
55,-0.3023688524590163,-0.02751304957239578,0.6038545892635981,0.9114814917246501
56,-0.3556397058823528,-0.022942334883264266,0.6147625253597895,0.8977494959036509
57,-0.35711570247933866,-0.008389833942055702,0.5893717283010482,0.8952125322818756
58,-0.33314705882352924,-0.015485974960805227,0.5650153481960296,0.876253258784612
59,-0.36551282051282036,-0.015196875284115473,0.7168748899300893,0.8829254889488221
60,-0.4181322314049586,-0.005858105253622246,0.6200852868954341,0.8872299826145172
61,-0.3506416666666665,-0.021054808207894286,0.5929955714941024,0.8773671285311381
62,-0.3597235772357722,-0.02224048160171757,0.6079718182484309,0.9001894303162893
63,-0.34203448275862064,0.010599321946501731,0.5229969815413157,0.8969034131368001
64,-0.3892480620155037,-0.02461834034033624,0.6575303637981414,0.8916978283723196
65,-0.3727796610169491,-0.007809838782607889,0.6265512835979462,0.9192425513267517
66,-0.3690330578512395,-0.04049025073026617,0.5672161849339803,0.8993344827493032
67,-0.32990624999999985,-0.0084839233441744,0.6586089577277502,0.8926670785744985
68,-0.344091603053435,-0.04369297647785667,0.6079311426480611,0.8865143485864003
69,-0.3233719008264461,-0.011921159497772654,0.6155146278937658,0.8686099358399709
70,-0.3392573529411763,-0.017650442176188032,0.6717611654599508,0.8869272621472677
